항공사(영문명),항공사(한글명),항공사코드(IATA),항공사코드(ICAO),항공사상태
"Compania Mexicana De Aeroplanos , S.A.",콩파냐 멕시카나 데 아에로플라노스,,MDR,Grounded
"Compania Mexicana De Aviacion , S.A.","콘파냐 멕시카나 데 아비악시옹,",MX,MXA,Grounded
Compania Mexicargo,콩파냐 멕시카고,,MXC,Grounded
"Compania Transportes Aereos Del Sur , S.A.",콤파냐 아에로트랜스포트 델 수,,HSS,Grounded
Company Flight K/S,컴퍼니 플라이트 K/S,,CYF,Active
Compass Airlines,컴패스 항공사,CP,CPZ,Grounded
Compass International Airways Ltd,컴파스 인터내셔널 에어웨이,,CPS,Grounded
Compuflight Operations Service,컴퓨플라이트 오퍼레이션 서비스,,XCO,Grounded
Compuserve Incorporated,컴퓨서브,,XCS,Grounded
"Comtel, Bedarfsfluege Kg",콤텔,,COE,Grounded
"Comunicacion Global Objetivo, S.L.",커뮤니케이션 글로벌 오브젝티보,,OBJ,Grounded
Conair Aviation,콘에어 에비에이션,,FGD,Active
Conciair Ltd,콘시에어,,CCR,Grounded
Concordavia Ltd,콩코다비아,,COD,Grounded
Concors Company,콩코드 캠퍼니,,COS,Grounded
Condor ,콘도르 항공,DE,CFG,Grounded
Condor Aero Services,콘도르 에어로 서비스,,CNR,Grounded
Condor Flugdienst,콘도르항공,DE,,Active
Confort Air,캄포터 에어 인코퍼레이션,,COF,Grounded
Congo Air,콩고에어,,CAK,Grounded
Congo Airways,콩고 항공사,8Z,CGA,Active
Congo Airways,콩고 항공사,8Z,,Active
Congo Express,콩고 익스프레스,,CXR,Grounded
Congo Express,콩고 익스프레스,XZ,,Grounded
"Congressional Air, Ltd",콘그레셔널 에어,,CGA,Active
Coningsby Ftu,커닝스비 FTU,,CBY,Grounded
Connect Cargo,컨넥트화물항공,6C,CNT,Active
Conquest Air Cargo,콘퀘스트 항공 화물,C4,QAI,Active
Conroe Aviation Services,컨로항공서비스,,CXO,Grounded
Consorcio Aviaxsa (Aviacsa),콘소르시오 아비악사,6A,CHP,Grounded
Consorcio Helitec C.A.,콘소르시오 헬리텍,,VCH,Grounded
Constanta Airlines,콘스탄타항공,,UZA,Active
Constellation International Airlines,콘스텔레이션 인터내셔날,CQ,CIN,Active
"Contact Air Flugdienst GmbH & Co, KG",콘택트 에어,C3,KIS,Grounded
Contel Asc,콘텔 Asc,,XCL,Grounded
Continental Air Lines,컨티넨탈항공,CO,COA,Grounded
Continental Airways,콘티넨탈 에어웨이,PC,PVV,Grounded
Continental Micronesia,콘티넨탈미크로네시아,CS,CMI,Grounded
Continental Oil Co.,콘티넨탈 오일,,CON,Grounded
Continental Wings - Comores Airlines,콘티넨탈윙스코모레스항공,,CWK,Grounded
Contour Airlines,콘투어 에어라인,LF,VTE,Active
Conversavia Airline,컨버세비아 에어라인,,CVS,Grounded
CONVIASA,CONVIASA,V0,VCV,Active
Cook Inlet Aviation,쿡인렛항공,,CKA,Grounded
Cooper Aerial Surveys Ltd,큐퍼 항공서베이,,SVY,Grounded
Copa Airlines,코파항공,CM,CMP,Active
Copa Airlines Colombia,코파 항공 콜롬비아,P5,RPB,Active
Copenhagen Airtaxi,코펜하겐 에어택시,,CAT,Grounded
Copper State Air Service,코퍼 스테이트 에어서비스,,COP,Grounded
Copterline Ou,콥터라인,,CPE,Grounded
Coptrade Air Transport,콥트레이드항공운송,,CCW,Grounded
Coral Seas Express Limited (Cse Aviation ),CSE 익스프레스,,CSE,Grounded
Corendon Airlines,코렌든 에어라인,XC,CAI,Active
Corendon Airlines Europe,코렌든 에어라인 유럽,XR,CXI,Active
Corendon Dutch Airlines,코렌든 더치 항공,CD,CND,Active
Corpac Canada Ltd,코팩 캐나다,,CPB,Grounded
CorpJet,코퍼젯,,BWE,Grounded
Corporacion Aereo Cencor,코퍼라시옹 아에로 센코르,,CNC,Grounded
Corporacion Aeroangeles,코퍼라시옹 아에란젤레스,,CPG,Grounded
Corporacion Ejecutiva De Transporte Aereo,코퍼레이션 이제큐티바 데 트랜스포트 아에로,,CTC,Grounded
Corporacion Paraguaya De Aeronautica S.A.,코포라시용 파라과야 데 에어로티카,,CGY,Grounded
Corporate Air (USA),코퍼레이트 에어(미국),,CPT,Active
Corporate Air Charters,코퍼레이트 에어챠터,7V,,Active
Corporate Aircraft Company,코퍼레이트 에어크래프트 컴퍼니,,CPO,Grounded
Corporate Airlink,코퍼레이트 에어링크,,COO,Grounded
Corporate Aviation Services,코퍼레이트 항공서비스,,CKE,Grounded
Corporate Express Airlines,리진스에어 인코퍼레이션 ,3C,CEA,Grounded
Corporate Flight International,코퍼레이트 플라이트 인터내셔널,,VHT,Grounded
"Corporate Jet, Llc Dba Priority Jet ",코오퍼레이트 젯,,PHJ,Grounded
Corporate Jets,코퍼레이트 제트,,CJI,Grounded
Corporatejets XXI S.A,XXI,,MND,Grounded
CorsAir International,코르스에어인터네셔널,SS,CRL,Active
Cosmic Air Pvt. Ltd,코스믹에어,F5,COZ,Grounded
Cosmos Aviation Services (Private),코스모스 에비에이션 서비스,MO,,Active
Costa Rica Green Airways,코스타리카그린항공,GW,,Active
"Costa Rica Skies Airlines, S A",코스타리카 스카이에어라인,,CSR,Grounded
Cotair,코테어,,COB,Grounded
Cottesmore Ftu,코테스모어 FTU,,COT,Grounded
Coturisca SA,코투리스카,,3CO,Grounded
"Cougar Helicoptes,Inc.",쿠거 헬리콥터,,CHI,Grounded
Cougar Leasing Limited (T/A Fly Globespan),쿠가 리스 - 플라이 글로브스팬,Y2,GSM,Grounded
Coulson Flying Services Limited,코울슨 비행서비스,,MGB,Grounded
Country Connection Airlines,컨트리커넥션,,NSW,Active
Country International Airlines,컨트리 인터내셔널,,CIK,Grounded
Courier Services,쿠리어 서비스,,CSD,Grounded
Court Helicopters,커트헬리콥터,,CUT,Grounded
Cowi A/S,코위 A/S,,COW,Grounded
Coyne Airways,코인에어웨이,7C,COY,Active
"Coyotair , S.A.",코요트에어,,COS,Grounded
Cranfield University,크랜필드대학,,CFD,Grounded
Cranwell Ftu,크렌윌 FTU,,CWL,Grounded
Cree Airways Corporation,크리 에어웨이 코퍼레이션,,CRE,Grounded
Crelam,크렐람,,ELM,Grounded
Cri Helicopters Mexico,CRI 헬리콥터 멕시코,,CRH,Grounded
Crimea Universal Avia,크리미아유니버설아비아,,KRM,Grounded
Croatia Airlines,크로아티아항공,OU,CTN,Active
Croatian Air Force (Hrvatsko Ratno Zrakoplovstvo),크로아티아공군,,HRZ,Grounded
Cronos Airlines,크로노스 항공,C8,CRA,Active
Cronos Airlines,크로노스 항공,C8,,Active
Cross Aviation Ltd,크로스 항공,LX,CRX,Grounded
Crow Executive Air,크로우 이그제큐티브 에어,,CWX,Grounded
Crown Air Systems,크라운 에어 시스템,,CKR,Grounded
Crown Airways,크라운 에어웨이,,CRO,Grounded
Cruiser Linhas Aereas Ltda.,크루저 리나스 아에레스.,,VCR,Grounded
Cryderman Air Service,크라이더맨 에어서비스,,CTY,Grounded
Crystal Shamrock,크리스탈 샴록,,CYT,Grounded
CSA Air Inc,CSA 에어,,IRO,Active
CTA - Crystal Thai Airlines Company Limited,크리스탈 타이 에어라인,YL,KPS,Grounded
CTK - Network Aviation Mali,CTK 네트워크항공 - 말리,,CKV,Grounded
CTK Network Aviation Ltd,CTK 네트워크항공,,CTQ,Grounded
Cubana de Aviacion,쿠바항공,CU,CUB,Active
Cuerpo Nacional De Policia,쿠에으포 네셔날 드 폴리샤,,DGP,Grounded
Custom Air Transport,커스텀 에어 트랜스포트,5R,CCT,Grounded
CV Cargo,CV 카고,,GSE,Grounded
Cygnus Air,시그너스에어,,RGN,Active
Cyprair Tours Ltd.,사이프레어 투어,,CYC,Grounded
Cyprus Airways,키프로스항공,CY,CYP,Active
Czech Air Force,체코공군,,CEF,Grounded
Czech Air Handling,체코에어핸들링,GG,AHD,Grounded
Czech Airlines,체코항공,OK,CSA,Active
Czech Connect Airlines,체코 코넥트 항공,CQ,CCG,Grounded
Czech Connect Airlines,체코 코넥트 항공,CQ,,Grounded
Czech Government Flying Service,체코정부비행서비스,,CIE,Grounded
D & D Aviation,D & D 에비에이션,,DDA,Grounded
D & K Aviation,D & K 에비에이션,,DNK,Grounded
D.F.S. Uk Ltd,D.F.S. (영국),,VLF,Grounded
Daallo Airlines,달로항공,D3,DAO,Active
Daallo Airlines,달로항공,D3,,Active
Daedalos Flugbetriebs Gmbh,다에달로스 비행운항,,IAY,Grounded
Dagestan Airlines,다게스탄 에어라인,N2,DAG,Grounded
Dagestan Airlines,다게스탄 항공,N2,,Grounded
Dahla Airlines,다훌라항공,,DHA,Grounded
Daimler-Chrysler,다임러 크라이슬러,,DCX,Grounded
"Dairo Air Services,Ltd.","다이로 에어서비스,",WD,DSR,Grounded
Dala Air Services Ltd,달라에어서비스,,DLR,Grounded
Dalian Airlines,대련 항공,CA,CCD,Active
Dallas Express Airlines,댈러스 익스프레스 에어라인,,DXP,Grounded
Dalmatian D.O.O.,달마시안,,DLN,Grounded
Damascene Airlines,다마스신 에어라인,,TYL,Grounded
Dana Air,다나 에어라인,9J,DAN,Active
Dana Executive Jets,다나 익스큐티브 젯,,DEJ,Grounded
Danbury Airways,댄버리 에어웨이,,DSA,Grounded
Dancopter,댄콥터,,DOP,Grounded
Danish Air Force,덴마크 공군,,DAF,Grounded
Danish Army,덴마크 육군,,DAR,Grounded
Danish Navy,덴마크 해군,,DNY,Grounded
Danube Wings,다뉴브윙,V5,,Grounded
Dap Helicopteros Ltda.,Dap 헬리콥토스.,,DHE,Grounded
Darik Sky,달릭 스카이,,DKR,Grounded
Darwin Airline Sa,다윈 에어라인,F7,DWT,Grounded
DAS Airlines,DAS항공,,RKC,Grounded
Dasab Airlines,다삽항공,,DSQ,Grounded
Dash Air Charter,대쉬 에어챠터,,DSH,Grounded
Dash Aviation Ltd,대쉬 항공,,GOB,Grounded
Dasnair Sa,다슨에어,,DGX,Grounded
Dassault Aviation,다설트 에비에이션,,DAB,Grounded
Dassault Falcon Jet Corporation,다설트 팔콘 제트,,CVF,Grounded
Dassault Falcon Service,다설트 팔콘 서비스,,DSO,Grounded
DAT,DAT 항공,DX,DTR,Active
DAT Enterprise Limited,DAT 엔터프라이즈,,ENT,Active
Data International Ltd,데이타인터내셔널,,DTN,Grounded
Date Transformation Corp.,데이트 트랜스포메이션,,XDT,Grounded
Dau Air Verwaltungs AG,다우 항공행정,D5,,Active
Dauair Ag,다우에어,,DAU,Grounded
David Crawshaw Consultants Ltd,데이비 크로쇼 컨설턴트,,DCO,Grounded
Dawn Air,던 에어,,DWN,Grounded
Daya Aviation (Pvt) Ltd,다야항공,,DAY,Grounded
Dayjet Corporation,데이제 코러레이션,,DJS,Grounded
"Db Aviation, Inc. ",DB 에비에이션,,NSH,Grounded
DBA Luftfahrtgesellschaft Mbh,DBA 항공,DI,BAG,Grounded
DC Aviation ,DC 항공,,DCS,Grounded
De Havilland,드 하빌랜드,,DHC,Grounded
Decatur Aviation,데카투항공,,DAA,Grounded
Deccan Cargo & Express Logistics Pvt Ltd,데칸 카고 & 익스프레스 로지스틱스,,DEC,Grounded
Deer Jet,디어제트항공,,DER,Active
Deere And Company,디어 앤 컴퍼니,,JDC,Grounded
"Delaware Skyways, Llc",델라웨어 스카이웨이,,DWR,Grounded
Delmun Aviation Services,델문 에비에이션 서비스,,DAS,Grounded
Delta Aerotaxi,델타 에어로택시,,DEA,Grounded
Delta Air Charter Ltd.,델타 에어챠터,,SNO,Grounded
Delta Air Elite,델타 에어엘리트,,ELJ,Grounded
Delta Air Lines,델타항공,DL,DAL,Active
Delta Connection Limited,델타 커넥션,DQ,DCP,Grounded
Delta Engineering Aviation Limited,델타엔지니어링 항공,,KMB,Grounded
Delta Express International Jsc,델타익스프레스인터내셔널,,DLI,Grounded
Delta State University,델타주립대학,,DSU,Grounded
Denim Air,데님 에어,G6,DNM,Grounded
Denim Air ACMI,데님 에어 ,G6,,Grounded
Denver Express,덴버 익스프레스,,FEC,Grounded
Departamento De Agricultura De La Generalitat De Cataluna,카날루냐 농림부,,FGC,Grounded
"Department Of The Army, Priority Air Transport ","미육군성, 프라이러티 에어트랜스포트(데이비슨 항공부대)",,PAT,Grounded
"Dept. Of Aeronautics, State Of Nebraska",네브래스카주 항공국,,NEB,Grounded
Dept. Of Agriculture,미농무부,,AGR,Grounded
Deraya Air Taxi,데라야 항공택시,,DRY,Grounded
"Derazona Air Service, PT",데라조나 에어서비스,,DRZ,Grounded
Des R. Cargo Express,데스 R. 카고익스프레스,,DRX,Grounded
Desarrollo Milaz,데사롤로 밀라즈,,MIZ,Grounded
Desert Jet ,데저트 젯,,DJR,Grounded
Desert Jet ,데저트 젯,,PJM,Grounded
DESNA,DESNA,,DSN,Grounded
Destiladora De Alcoholes Y Mieles.,데스틸아도라 드 알코홀스 Y 미엘리스,,DEM,Grounded
Destination Air Company Limited,데스티네이션 에어,D8,,Active
Destination Airlink Bahamas Limited,데스티네이션 에어링크 바하마스,AL,,Grounded
Destiny Air Services Ltd,데스티니항공서비스,,DTY,Grounded
Deutsche Rettungsflugwacht E.V,독일 레텅스플루바흐트,1I,AMB,Grounded
Dgo Jet,Dgo 제트,,DGO,Grounded
DHL Aero Expreso,DHL 에어로 익스프레스,D5,DAE,Active
DHL Air UK,DHL 에어 리미티드,D0,DHK,Active
DHL Aviation (Pty) Ltd,DHL 에비에이션,,DHV,Grounded
DHL de Guatemala,DHL 과테말라,L3,JOS,Active
DHL Ecuador,DHL 에콰도르,7T,RTM,Active
DHL International Aviation ME,DHL 국제항공 ME,ES,DHX,Active
DI Air,DI 에어,,DIS,Grounded
Diamond Aviation,다이아몬드 에비에이션,,SPK,Grounded
Diamond Executive Aviation Ltd,다이아몬드 익스큐티브 에비에이션,,WKT,Grounded
Diamond Flight Academy Scandinavia Ab,다이아몬드 플라이트 아카데미 스칸디나비아,,DMN,Grounded
Didier Rousset Buy,디디에 루소 부이,,DRB,Grounded
Digital Equipment Corporation,디지털 이큅먼트 코퍼레이션,,DGT,Grounded
"Dinar , S.A.",다이나,D7,RDN,Grounded
Diplomatic Freight Services,영국외교화물서비스,,DIP,Grounded
Direct Aero Services,다이렉트 에어로 서비스,,DSV,Grounded
Direct Air,다이렉트에어,,DIA,Grounded
Direct Air DBA/ Midway Connection,디렉트 에어 - 미드웨이 커넥션,,XAP,Grounded
Direct Air Executive Ltd,다이렉트 에어 이그제큐티브,,DAX,Grounded
Direct Flight Ltd,다이렉트플라이트,,DCT,Grounded
Direct Fly Sp. Z.O.O.,다이렉트 플라이,,DLF,Grounded
Direktflyg,디렉트플라이,HS,HSV,Active
Direktflyg,디렉트플라이,HS,,Grounded
Discovery Airways,디스커버리 에어웨이,,DVA,Grounded
Discovery LTD,디스커버리,,DCR,Grounded
DiscoveryAir,디스커버리에어,DO,DCV,Grounded
Dispatch Services,디스패치 서비스,,XDS,Grounded
Divi Divi Air,디비 디비 에어,,DVR,Grounded
Dix Aviation,딕스 에비에이션,,DIX,Grounded
Djibouti Air,지부티에어,DZ,,Active
Djibouti Airlines,지부티에어라인,D8,DJB,Grounded
Djt Aviation Gmbh & Co Kg,Djt 에비에이션,,DJC,Grounded
DLR - Germany,DLR - 게르마니,,GPL,Grounded
Dlr Deutsches Zentrum Fur Luft-Und Raumfahrt E.V.,우주여행등록조합DIR독일센터,,LFO,Grounded
Dmcfly.,DMC 플라이,,DMF,Grounded
Dniproavia,드니프로아비아,Z6,UDN,Grounded
Dniproavia,드니프로아비아,Z6,,Grounded
Dobrolet,도브로렛항공,QD,,Grounded
Dolphin Air,돌핀 에어,ZD,FDN,Grounded
Dolphin Express Airlines,돌핀 익스프레스 에어라인,,IXX,Grounded
Dome Petroleum Ltd.,둠 페트롤리움,,DPL,Grounded
"Dominguez Toledo , S.A. (Grupo Mayoral)",도밍게즈 털리도 (매요랄 그룹),,MYO,Grounded
Dominican Wings,도미니칸 윙즈,DW,DWI,Startup
Domodedovo Airlines,도모데도보항공,E3,DMO,Grounded
"Domooedovo Airport Handling, Cjsc",도모데도보 에어포트 핸들링,,DPH,Grounded
Donair Flying Club Ltd,돈에어 플라잉 클럽,,DON,Grounded
DONAVIA JSC ,도나비아 JSC ,D9,DNV,Grounded
Donbassaero,돈바사에로,7D,,Grounded
"Donbassaero Airlines, LLC",돈바사에로,7D,UDC,Grounded
Donghai Airlines,동해항공,DZ,EPA,Active
Dorado Air,도라도에어,,DAD,Grounded
Dornier Aviation Nigeria Aiep Ltd,도니어항공나이지리아,,DAV,Grounded
Dornier Luftfahrt Gmbh,도니어 항공,,DOR,Grounded
Dos Mundos,도스 문도스,,DOM,Grounded
Dot Lt,Dot Lt,R6,DNU,Active
Douniah Airlines,도니아에어라인,DH,,Active
Dove Air Services,도브 에어 서비스,,DOV,Active
DRB-HICOM Asia Cargo Express,DRB-HICOM 아시아화물항공,3G,CXM,Active
Dreamcatcher Airways,드림캐쳐 에어웨이,,DCA,Grounded
"Dreamline Aviation, LLC",드림라인 에비에이션,,DLX,Grounded
Driessen Services,드리이젠 서비스,Y3,,Active
Druk Air,드럭에어,KB,DRK,Active
"Dswa, Llc",Dswa,,RSK,Grounded
Dubai Airwing,두바이에어윙,,DUB,Grounded
Dubrovnik Airline D.O.O.,두브로프니크 에어라인 D.O.O.,,DBK,Grounded
Ducair S.A.,듀크에어,,DUK,Grounded
Duchess Of Brittany (Jersey) Ltd,더취스 오브 브리타니 (저지),,DBJ,Grounded
Dun'Air,둔에어,,DUN,Grounded
Duncan Aviation,던칸항공,,PHD,Grounded
Dunyaya Bakis Hava Tasimaciligi A.S.,둔야야 바키스 하바 타지마츠글리 A.S.,,VVF,Grounded
Duo Airways,듀오 에어웨이,VB,DUO,Grounded
Durango Jet,두랑고 제트,,DJE,Grounded
Dushanbe Air,두샨베 에어,,DUA,Grounded
Dutch Antilles Express,앤틸리스 익스프레스,9H,DNL,Grounded
Dutch Antilles Express B.V.,앤틸리스 익스프레스,9H,DNL,Grounded
Dutch Caribbean Express,더치 카리브 익스프레스,,DCE,Grounded
Dutchbird,더치버드,5D,DBR,Grounded
Dwyer Aircraft Sales,듀이어 에어크래프트 세일즈,,DFS,Grounded
Dynair Services,다인에어서비스,,XDY,Grounded
Dynamair Aviation,다이나메어 에비에이션,,DNR,Grounded
Dynamic Air,다이나믹 에어,,DYE,Grounded
"Dynamic Air, S.L.",다이나믹 에어웨이,,DYM,Grounded
Dynamic International Airways,다이나믹 국제 항공사,2D,DYA,Grounded
E H Darby Aviation,E H 다비에비에이션,,EHD,Grounded
E.I.S. Aircraft Gmbh,E.I.S 에어크래프트,,EIS,Grounded
"Eaa - Escola De Aviacao Aerocondor, Sa",EAA - 에스콜라 데 아비아카오 에어로콘도,,EAD,Grounded
Eac Aircraft Management Corporation,EAC 에어크래프트 매니지먼트,,XSR,Grounded
Eagle Aero,이글 에어로,,ICR,Grounded
Eagle Air,이글에어,,EGX,Grounded
Eagle Air (S.L.) Limited,이글에어,,EGR,Active
Eagle Air (Uganda),이글에어 우간다,H7,EGU,Active
"Eagle Air Guinee, S.A.",이글 에어 기니,,GIF,Grounded
Eagle Air Iceland,이글에어(아이슬란드),IS,FEI,Grounded
Eagle Air Ltd,이글에어,,EFL,Grounded
Eagle Air Transport,이글에어 트랜스포트,,E13,Grounded
Eagle Airways,이글 에어웨이즈,NZ,EAG,Grounded
Eagle Atlantic Airlines,이글애틀랜틱항공,E2,,Grounded
Eagle Aviation,이글항공,,GYP,Grounded
Eagle Aviation France,이글항공 프랑스,,EGN,Grounded
"Eagle Aviation Services, Inc.",이글 에비에이션 서비스,,ABU,Grounded
Eagle Canyon Airlines,이글 캐넌 에어라인,,TLO,Grounded
Eagle Helicopters Inc,이글헬리콥트,,EZ9,Grounded
Eagle International,이글인터내셔널,,SEG,Grounded
Eagle Trans Asia Airways Corp.,이글 트랜스 아시아 에어웨이,,ETW,Grounded
